Unique code,Divisi,Tahun,Bulan Pengamatan,Kawasan,Varietas Tebu,Bulan Tanam2,Nama Blok,Tanggal Pengamatan,Luas Tanah,Bulan Tanam,Tahun Tanam,Category Tanam,Category,Umur,Stem Borer,Top Borer,Scale Insect,Dosis pias,Dosis lalat,Dosis telenomus,Dosis Tetras,Dosis cecopet,stem_borer_label,top_borer_label,kutu_perisai_label,Curah hujan (mm),Kategori Luas Tanah
IV20228RGM 02-1085,IV,2022,8,11.0,R08,5,175 TU 63,2022-08-19,6.17,2022-05-01,2022,RC2,RC2,3,5.38,0.19,0.0,5,5,0,200,9.0,Red,Green,Green,130,Medium
IV20228GMP 55,IV,2022,8,10.0,GMP 5,5,168 TU 63,2022-08-19,5.82,2022-05-01,2022,PC,PC,3,2.3,0.1,0.0,5,5,0,160,2.0,Red,Green,Green,130,Medium
VI20228RGM 02-1085,VI,2022,8,11.0,R08,5,227 TU 67,2022-08-19,6.56,2022-05-01,2022,RC2,RC2,3,0.0,0.0,0.0,5,5,0,0,0.0,Green,Green,Green,137,Medium
I20228GMP 55,I,2022,8,29.0,GMP 5,5,45 BS 34,2022-08-19,5.37,2022-05-01,2022,PC,PC,3,1.04,2.69,0.0,5,5,10,0,0.0,Green,Red,Green,143,Medium
I20228RGM 02-1085,I,2022,8,25.0,R08,5,60 BS 30,2022-08-20,4.11,2022-05-01,2022,RC2,RC2,3,0.0,3.53,0.0,5,5,11,0,0.0,Green,Red,Green,143,Medium
I20228RGM 02-1085,I,2022,8,28.0,R08,5,61 BS 34,2022-08-20,6.15,2022-05-01,2022,RC2,RC2,3,1.52,2.04,0.0,5,5,11,0,0.0,Red,Red,Green,143,Medium
I20228RGM 02-1085,I,2022,8,25.0,R08,5,63 BS 32,2022-08-20,7.05,2022-05-01,2022,RC2,RC2,3,0.0,2.58,0.0,5,5,11,0,0.0,Green,Red,Green,143,Big
I20228RGM 02-1085,I,2022,8,28.0,R08,5,65 BS 34,2022-08-20,4.69,2022-05-01,2022,RC1,RC1,3,0.81,2.04,0.0,5,5,11,0,0.0,Green,Red,Green,143,Medium
III20228GMP 55,III,2022,8,21.0,GMP 5,5,63 TS 28,2022-08-20,4.56,2022-05-01,2022,PC,PC,3,0.0,1.88,0.0,5,5,10,1000,0.0,Green,Red,Green,164,Medium
III20228GMP 55,III,2022,8,21.0,GMP 5,5,62 TS 26,2022-08-20,4.36,2022-05-01,2022,PC,PC,3,2.94,0.0,0.0,5,5,10,1000,0.0,Red,Green,Green,164,Medium
V20228RGM 02-1085,V,2022,8,11.0,R08,5,132 BU 15,2022-08-21,7.7,2022-05-01,2022,RC2,RC2,3,0.0,1.51,0.0,5,5,0,103,10.1,Green,Red,Green,234,Big
V20228RGM 02-1085,V,2022,8,11.0,R08,5,131 BU 13,2022-08-21,4.77,2022-05-01,2022,RC2,RC2,3,0.0,0.75,0.0,5,5,0,103,10.1,Green,Green,Green,234,Medium
II20228GMP 55,II,2022,8,21.0,GMP 5,5,02 TS 32,2022-08-22,4.21,2022-05-01,2022,PC,PC,3,4.35,4.77,0.0,5,5,6,90,10.0,Red,Red,Green,120,Medium
II20228RGM 02-1085,II,2022,8,14.0,R08,5,29 BS 15,2022-08-22,6.92,2022-05-01,2022,RC1,RC1,3,3.09,1.7,0.0,5,5,0,103,0.0,Red,Red,Green,120,Medium
V20228GMP 55,V,2022,8,6.0,GMP 5,5,128 BU 21,2022-08-22,5.12,2022-05-01,2022,RC1,RC1,3,0.0,0.0,0.0,5,5,0,102,10.1,Green,Green,Green,234,Medium
IV20228RGM 02-1085,IV,2022,8,7.0,R08,5,143 TU 53,2022-08-22,4.31,2022-05-01,2022,PC,PC,3,0.0,0.0,0.0,5,5,0,200,9.0,Green,Green,Green,130,Medium
IV20228RGM 02-1085,IV,2022,8,11.0,R08,5,175 TU 60,2022-08-22,3.4,2022-05-01,2022,RC2,RC2,3,3.7,1.04,0.0,5,5,0,200,9.0,Red,Green,Green,130,Small
IV20228RGM 02-1085,IV,2022,8,11.0,R08,5,173 TU 57,2022-08-22,3.58,2022-05-01,2022,RC2,RC2,3,1.92,0.57,0.0,5,5,0,200,9.0,Red,Green,Green,130,Small
II20228GMP 55,II,2022,8,23.0,GMP 5,5,18 BS 33,2022-08-22,5.84,2022-05-01,2022,PC,PC,3,3.3,3.44,0.0,5,5,6,90,10.0,Red,Red,Green,120,Medium
IV20228RGM 02-1085,IV,2022,8,24.0,R08,5,143 TU 36,2022-08-22,6.36,2022-05-01,2022,PC,PC,3,2.63,0.0,0.0,5,5,0,200,9.0,Red,Green,Green,130,Medium
V20228GMP 55,V,2022,8,6.0,GMP 5,5,129 BU 23,2022-08-22,9.67,2022-05-01,2022,RC1,RC1,3,0.0,0.61,0.0,5,5,0,102,10.1,Green,Green,Green,234,Big
IV20228RGM 02-1085,IV,2022,8,23.0,R08,5,133 TU 17,2022-08-22,7.5,2022-05-01,2022,RC1,RC1,3,3.23,2.95,0.0,5,5,0,200,9.0,Red,Red,Green,130,Big
IV20228RGM 02-1085,IV,2022,8,23.0,R08,5,136 TU 17,2022-08-22,6.76,2022-05-01,2022,RC1,RC1,3,2.13,1.21,0.0,5,5,0,200,9.0,Red,Green,Green,130,Medium
IV20228GMP 55,IV,2022,8,30.0,GMP 5,5,146 TU 19,2022-08-22,7.39,2022-05-01,2022,RC2,RC2,3,2.27,0.18,0.0,5,5,0,160,2.0,Red,Green,Green,130,Big
IV20228GMP 55,IV,2022,8,30.0,GMP 5,5,147 TU 19,2022-08-22,4.76,2022-05-01,2022,RC2,RC2,3,0.0,0.0,0.0,5,5,0,160,2.0,Green,Green,Green,130,Medium
