Nama Blok,Umur,Divisi,Varietas Tebu,Kawasan,Tanggal Pengamatan,Luas Tanah Produktif (Ha),Bulan Tanam,Category,Stem Borer,Top Borer,Scale Insect,Dosis pias,Dosis lalat,Dosis telenomus,Dosis Tetras,Dosis cecopet,Curah hujan (mm)_extended,Tahun,Bulan Pengamatan,Curah hujan (mm)
229 TU 65,11,VI,GMP 5,19.0,2023-03-01,5.28,2022-05-01,RC2,0.65,1.58,91.5,5.0,5.0,0.0,0.0,0.0,537.0,2023,3,537
131 TU 36,3,IV,R08,22.0,2022-08-09,6.05,2022-05-01,PC,3.03,2.3,0.0,5.0,5.0,0.0,200.0,9.0,130.0,2022,8,130
131 TU 36,4,IV,R08,22.0,2022-09-07,6.05,2022-05-01,PC,1.8,1.27,0.0,5.0,5.0,0.0,0.0,0.0,98.0,2022,9,98
131 TU 36,5,IV,R08,22.0,2022-10-07,6.05,2022-05-01,PC,3.14,2.84,0.35,5.0,4.0,0.0,0.0,0.0,304.0,2022,10,304
131 TU 36,6,IV,R08,22.0,2022-11-06,6.05,2022-05-01,PC,4.52,3.73,0.2,5.0,5.0,0.0,0.0,170.0,201.0,2022,11,201
131 TU 36,7,IV,R08,22.0,2022-12-06,6.05,2022-05-01,PC,4.0,6.1,0.35,5.0,4.0,0.0,0.0,0.0,251.0,2022,12,251
131 TU 36,8,IV,R08,22.0,2023-01-15,6.05,2022-05-01,PC,1.59,4.75,4.35,5.0,4.0,0.0,200.0,0.0,233.0,2023,1,233
131 TU 36,9,IV,R08,22.0,2023-02-13,6.05,2022-05-01,PC,3.3,5.51,27.75,5.0,5.0,2.0,160.0,0.0,313.0,2023,2,313
131 TU 36,10,IV,R08,22.0,2023-03-15,6.05,2022-05-01,PC,3.23,4.89,28.75,5.0,0.0,5.0,90.0,0.0,402.0,2023,3,402
131 TU 36,11,IV,R08,22.0,2023-04-12,6.05,2022-05-01,PC,2.82,4.24,14.15,5.0,5.0,0.0,200.0,0.0,234.0,2023,4,234
129 TU 36,3,IV,R08,22.0,2022-08-09,7.08,2022-05-01,PC,1.47,1.67,0.0,5.0,5.0,0.0,200.0,9.0,130.0,2022,8,130
